indexed_word,edits,query
CAT,0,CAT
CAT,1,CQT
CAT,2,CQQ
CAT,3,QQQ
APPROXIMATE,0,APPROXIMATE
APPROXIMATE,1,APPROXQMATE
APPROXIMATE,2,APPROXQMATQ
APPROXIMATE,3,QPPROXQMATQ
APPROXIMATE,4,QPPRQXQMATQ
APPROXIMATE,5,QPPRQXQQATQ
APPROXIMATE,6,QPPQQXQQATQ
APPROXIMATE,7,QPPQQQQQATQ
APPROXIMATE,8,QPQQQQQQATQ
APPROXIMATE,9,QQQQQQQQATQ
APPROXIMATE,10,QQQQQQQQAQQ
APPROXIMATELY,0,APPROXIMATELY
APPROXIMATELY,1,APPROXQMATELY
APPROXIMATELY,2,APPROXQMATELQ
APPROXIMATELY,3,QPPROXQMATELQ
APPROXIMATELY,4,QPPRQXQMATELQ
APPROXIMATELY,5,QPPRQXQMQTELQ
APPROXIMATELY,6,QPPRQXQQQTELQ
APPROXIMATELY,7,QPPQQXQQQTELQ
APPROXIMATELY,8,QPQQQXQQQTELQ
APPROXIMATELY,9,QPQQQXQQQTEQQ
APPROXIMATELY,10,QPQQQQQQQTEQQ
APPROXIMATIONS,0,APPROXIMATIONS
APPROXIMATIONS,1,APPROXIMATIONQ
APPROXIMATIONS,2,APPROXQMATIONQ
APPROXIMATIONS,3,APPROXQMATIOQQ
APPROXIMATIONS,4,QPPROXQMATIOQQ
APPROXIMATIONS,5,QPPRQXQMATIOQQ
APPROXIMATIONS,6,QPPRQXQMQTIOQQ
APPROXIMATIONS,7,QPPRQXQQQTIOQQ
APPROXIMATIONS,8,QPPQQXQQQTIOQQ
APPROXIMATIONS,9,QPQQQXQQQTIOQQ
APPROXIMATIONS,10,QPQQQXQQQTIQQQ
SUPERCALIFRAGILISTIC,0,SUPERCALIFRAGILISTIC
SUPERCALIFRAGILISTIC,1,SUPERCALIFRAQILISTIC
SUPERCALIFRAGILISTIC,2,SUPERCALIFRAQQLISTIC
SUPERCALIFRAGILISTIC,3,SQPERCALIFRAQQLISTIC
SUPERCALIFRAGILISTIC,4,SQPERCALQFRAQQLISTIC
SUPERCALIFRAGILISTIC,5,SQPERCALQFRAQQLQSTIC
SUPERCALIFRAGILISTIC,6,SQPERCQLQFRAQQLQSTIC
SUPERCALIFRAGILISTIC,7,SQPERCQLQFRAQQLQSTIQ
SUPERCALIFRAGILISTIC,8,SQPEQCQLQFRAQQLQSTIQ
SUPERCALIFRAGILISTIC,9,SQPEQCQQQFRAQQLQSTIQ
SUPERCALIFRAGILISTIC,10,SQPEQQQQQFRAQQLQSTIQ
