word,alias,penalty
Robert,Bob,5
Elizabeth,Liz,5
William,Bill,5
Richard,Rick,5
Michael,Mike,5
Katherine,Kathy,5
Margaret,Peggy,5
Jennifer,Jen,5
Deborah,Debbie,5
Patricia,Pat,5
Susan,Sue,5
Charles,Chuck,5
James,Jim,5
Thomas,Tom,5
Christopher,Chris,5
Anthony,Tony,5
Donald,Don,5
Steven,Steve,5
Andrew,Andy,5
Joseph,Joe,5
Samuel,Sam,5
Benjamin,Ben,5
Alexander,Alex,5
Nicholas,Nick,5
Timothy,Tim,5
Gregory,Greg,5
Jeffrey,Jeff,5
Kenneth,Ken,5
Ronald,Ron,5
Edward,Ed,5
Gerald,Gerry,5
Raymond,Ray,5
Lawrence,Larry,5
Barbara,Barb,5
Dorothy,Dot,5
Cynthia,Cindy,5
Kimberly,Kim,5
Rebecca,Becky,5
Stephanie,Steph,5
Virginia,Ginny,5
Catherine,Cathy,5
