product_id,product_name,category,year_released,price
B88-EXT-24,Extended Battery Pack Pro,Batteries,2024,39.99
A12-PWR-22,Portable Power Bank,Batteries,2022,29.50
C99-SNS-23,Motion Sensor Camera,Cameras,2023,89.00
D45-REL-21,Smart Relay Switch,Automation,2021,24.99
E67-LEN-24,Wide Angle Camera Lens,Cameras,2024,149.99
F31-TRK-20,GPS Tracker Module,Automation,2020,59.00
G14-CAB-19,Braided USB-C Cable,Accessories,2019,12.99
H82-DOC-23,Docking Station Hub,Accessories,2023,74.50
I29-BAT-22,Rechargeable Battery Cell,Batteries,2022,9.99
J56-SEN-24,Outdoor Motion Sensor,Automation,2024,44.00
